"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of the Sabbath.7.75.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_the_Sabbath.7.75.2","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","לך לך שמזהיר את האדם שילך לעצמו כי עצם האדם מה שנקרא אני הוא רק הנשמה כמו שכתוב בהתורה חותם בתוך חותם סימן כב לקוטי חלק א וכן כשמדברים עם האדם לנכח ואומרים לו אתה או לך עקר הכונה על הנשמה שהוא עצם האדם","k_of_n","7/40 words match (window=""לך לך שמזהיר את האדם שילך לעצמו כי עצם האדם מה שנקרא אני הוא רק הנשמה כמו שכתוב בהתורה חותם לקוטי חלק א וכן כשמדברים עם האדם לנכח ואומרים לו אתה או לך עקר הכונה על הנשמה שהוא עצם האדם"")","7/40","Likutei Moharan.22.1.4","https://www.sefaria.org.il/Likutei_Moharan.22.1.4","חותם הוא, כי יש מוכיחי הדור, והם בחינות רגלין, ונקראים רגלין, על שם שהם למודי ה', הינו שלומדין כביכול את ה', שנותנין לו עצות, והם הולכים בשליחותו לישראל, להוכיחם ולהחזירם להשם יתברך. ועל שם זה נקראים בחינות רגלין, על שם העצה, כמו שפרש רש""י (שמות יא) על ""וכל העם אשר ברגליך"": ההולכים אחר עצתך, ועל שם ההליכה, שהולכים בשליחותו להוכיח כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of the Sabbath.7.75.4","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_the_Sabbath.7.75.4","Likutei Moharan%2C_Part_II.46","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.46","הקדוש ברוך הוא בא בטרוניא עם בריותיו ובודאי יש לך כח לעמד בכל זה כמו שכתב אדמו ר ז ל בסימן מו בלקוטי תנינא שאין הקדוש ברוך הוא שולח להאדם מניעות שלא יוכל לעמד בהם וכו וזהו אל הארץ אשר אראך שהוא","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of the Sabbath.7.75.5","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_the_Sabbath.7.75.5","Likutei Moharan%2C_Part_II.16","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.16","הברכה וכו תהלים קלג וזה בחינת למנות מלך כי עקר השפע והברכה נמשך על ידי המלך כמו שכתוב במקום אחר בלקוטי תנינא סימן טז ואגדלה שמך שיהיה נקרא אברהם בתוספת ה בחינת ה הדעת שהוא בחינת משה שהוא הדעת שהוא בחינת בית המקדש כי","k_of_n","10/40 words match (window=""הברכה וכו תהלים קלג וזה בחינת למנות מלך כי עקר השפע והברכה נמשך על ידי המלך כמו שכתוב במקום אחר ואגדלה שמך שיהיה נקרא אברהם בתוספת ה בחינת ה הדעת שהוא בחינת משה שהוא הדעת שהוא בחינת בית המקדש כי"")","10/40","Likutei Moharan%2C_Part_II.16.2.2","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.16.2.2","וזה בחינת (בראשית מ״ט:כ׳-כ״א): מאשר שמנה לחמו והוא יתן מעדני מלך, נפתלי אילה שלוחה הנותן אמרי שפר. שמנה לחמו וכו', דהינו הפרנסה, שהיא בחינת מעדני מלך, כי מקבלין אותה עלידי המלך, ועלכן תכף כתיב אחריו: נפתלי וכו' הנותן אמרי שפר, דהינו אמרי שפר של ברכות ותפלות וכיוצא, שנעשין מן הברורים של מעדני מלך כנ""ל. ואלו הברורים הם בחינת קטרת, כידוע, שקטרת היא בחינת ברורים.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of the Sabbath.7.75.7","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_the_Sabbath.7.75.7","Likutei Moharan.8","https://www.sefaria.org.il/Likutei_Moharan.8","ניצוצות הקדושים שברר שם כמובא וכן עובר על כל אדם וכנ ל וכן מובא בספרים ובדברי אדמו ר ז ל בסימן ח בהתורה ראיתי מנורת זהב שכל הירידות והעליות של האדם מרמזין בפסוק וירד אברם מצרימה ויעל אברם ממצרים הינו כנ ל","k_of_n","8/40 words match (window=""ניצוצות הקדושים שברר שם כמובא וכן עובר על כל אדם וכנ ל וכן מובא בספרים ובדברי אדמו ר ז ל בהתורה ראיתי מנורת זהב שכל הירידות והעליות של האדם מרמזין בפסוק וירד אברם מצרימה ויעל אברם ממצרים הינו כנ ל"")","8/40","Likutei Moharan.8.2.3","https://www.sefaria.org.il/Likutei_Moharan.8.2.3","וזהו שנקרא הצדיק (במדבר כ״ז:י״ח): איש אשר רוח בו – שיודע להלך נגד רוחו של כל אחד ואחד (כמו שפרש רש""י שם). כי הצדיק ממשיך ומשלים הרוח חיים של כל אחד ואחד כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.1.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.1.1.2","Likutei Moharan.277","https://www.sefaria.org.il/Likutei_Moharan.277","בסעודות של שבת וזה מבאר בדברי רבנו נ י במאמר המדבר ממחלקת על פסוק בקמים עלי מרעים תשמענה אזני וכו סימן רעז מבאר שם שעקר הלוך שבת תלוי באכילה של שבת בבחינת דוק בככי ותשכח בנגרי עין שם היטב ועל כן תקנו","k_of_n","10/40 words match (window=""בסעודות של שבת וזה מבאר בדברי רבנו נ י במאמר המדבר ממחלקת על פסוק בקמים עלי מרעים תשמענה אזני וכו מבאר שם שעקר הלוך שבת תלוי באכילה של שבת בבחינת דוק בככי ותשכח בנגרי עין שם היטב ועל כן תקנו"")","10/40","Likutei Moharan.277.2.2","https://www.sefaria.org.il/Likutei_Moharan.277.2.2","וזה שבקש דוד (תהילים צ״ב:י״ב): בקמים עלי מרעים וכו'. כי יש תמר בקדשה, בחינת: צדיק כתמר יפרח (שם); וכנגדו תמר בסטרא אחרא, בחינת: שאור בככותבת, וכותבת היא תמרה, הינו התמר שבסטרא אחרא, כי שאור הוא כללות ותקף הדינים, כי הוא בחינת אלקים ברבוע ובמלוי כמובא, ועל כן נקרא תמר, לשון תמורה, הינו הסטרא אחרא שהיא נקראת תמורה, כי תמורת חכמה – אולת, תמורת חיים וכו', כמובא (בספר יצירה).","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.2.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.2.1.1","Likutei Moharan.56","https://www.sefaria.org.il/Likutei_Moharan.56","כי שבת הוא בחינת המשכת החיים לתוך המלכות עין במאמר וביום הבכורים סימן נו כי שבת הוא בחינת מלכות בחינת שבת מלכתא ואז הוא המשכת החים בחינת טועמיה חיים זכו ועל כן לכולי עלמא בשבת נתנה התורה כי על ידי התורה הוא המשכת החיים","k_of_n","11/40 words match (window=""כי שבת הוא בחינת המשכת החיים לתוך המלכות עין במאמר כי שבת הוא בחינת מלכות בחינת שבת מלכתא ואז הוא המשכת החים בחינת טועמיה חיים זכו ועל כן לכולי עלמא בשבת נתנה התורה כי על ידי התורה הוא המשכת החיים"")","11/40","Likutei Moharan.56.1.2","https://www.sefaria.org.il/Likutei_Moharan.56.1.2","א כי יש בכל אחד מישראל בחינת מלכות, וכל אחד לפי בחינתו, כן יש לו בחינות מלכות. יש שהוא שורר בביתו, ויש שהוא מושל ביותר, וכן יש שהוא מושל על כל העולם – כל אחד לפי בחינת המלכות שיש לו. בבחינות: שרי אלפים ושרי מאות ושרי חמשים ושרי עשרות (שמות י״ח:כ״א).","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.3.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.3.1.1","Likutei Moharan.40","https://www.sefaria.org.il/Likutei_Moharan.40","כי איתא בדברי רבנו ז ל על פסוק אלה מסעי בני ישראל סימן מ שכל הנסיעות הם בשביל פגם עבודה זרה דהינו קלקול האמונה בשביל זה צריכין לנסע ולטלטל ועל ידי הנסיעות והטלטולים מכפרים על פגם עבודה זרה פגם האמונה וכו עין","k_of_n","9/40 words match (window=""כי איתא בדברי רבנו ז ל על פסוק אלה מסעי בני ישראל שכל הנסיעות הם בשביל פגם עבודה זרה דהינו קלקול האמונה בשביל זה צריכין לנסע ולטלטל ועל ידי הנסיעות והטלטולים מכפרים על פגם עבודה זרה פגם האמונה וכו עין"")","9/40","Likutei Moharan.40.1.1","https://www.sefaria.org.il/Likutei_Moharan.40.1.1","לשון רבנו זכרונו לברכה איתא בעשרה מאמרות: ""אלה מסעי בני ישראל – בשביל שחטאו באלה אלקיך ישראל, בשביל זה יסעו בני ישראל"".","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.3.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.3.1.1","Likutei Moharan.42","https://www.sefaria.org.il/Likutei_Moharan.42","צריכין לנסע ולטלטל ועל ידי הנסיעות והטלטולים מכפרים על פגם עבודה זרה פגם האמונה וכו עין שם ואיתא בספר השני סימן מב שעל ידי זה נמשך רחמנות כי כל זמן שיש עבודה זרה בעולם חרון אף בעולם וכשמכפרין על פגם העבודה זרה","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.4.7.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.4.7.2","Likutei Moharan.20","https://www.sefaria.org.il/Likutei_Moharan.20","הכתרים הנ ל בחינת נשמע ונעשה נסתר ונגלה כי אסתר היא בחינת נסתר ומרדכי הוא בחינת נגלה כמובא בדברי רבנו ז ל במקום אחר סימן יוד ועל ידם היה תקף הנס ונתהפך הדבר מהיפך אל היפך וזכו אז לקבלת התורה כמו שכתוב","k_of_n","6/40 words match (window=""הכתרים הנ ל בחינת נשמע ונעשה נסתר ונגלה כי אסתר היא בחינת נסתר ומרדכי הוא בחינת נגלה כמובא בדברי רבנו ז ל במקום אחר ועל ידם היה תקף הנס ונתהפך הדבר מהיפך אל היפך וזכו אז לקבלת התורה כמו שכתוב"")","6/40","Likutei Moharan.20.1.7","https://www.sefaria.org.il/Likutei_Moharan.20.1.7","וזה בחינת (במדבר כ׳:א׳): מדבר צין, שהוא בחינת דבור מצנן, ששם מתה מרים, בחינת הנשמה הסובלת מרירות השעבוד על התורה. ואז נסתלק הבאר, הינו בחינת באורי התורה, ואז: וירב העם עם משה; הינו בחינות המריבה שנתעורר כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.4.10.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.4.10.2","Likutei Moharan%2C_Part_II.78","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.78","לפעמים בכונה לעניני קטנות ומילי דשטותא בבחינת בטולה של תורה זהו קיומה וכמבאר מזה בדברי רבנו ז ל במקום אחר סימן עח לקוטי תנינא וזהו גם כן בחינת ירידה שקדם העליה שמחמת שרואה שמחו נתיגע ואינו יכול עוד לילך במחו יותר אזי","k_of_n","6/40 words match (window=""לפעמים בכונה לעניני קטנות ומילי דשטותא בבחינת בטולה של תורה זהו קיומה וכמבאר מזה בדברי רבנו ז ל במקום אחר לקוטי תנינא וזהו גם כן בחינת ירידה שקדם העליה שמחמת שרואה שמחו נתיגע ואינו יכול עוד לילך במחו יותר אזי"")","6/40","Likutei Moharan%2C_Part_II.78.2.3","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.78.2.3","ולכאורה זה הדבר קשה מאד, איך אפשר לפרש עצמו מן התורה אפלו שעה קלה, הלא היא חיינו וכו', ומי הוא זה שירצה לפרש עצמו מן החיים אפלו רגע קלה. ואףעלפי שאמרו רבותינו זכרונם לברכה (מנחות צט): בטולה של תורה זהו קיומה, אףעלפיכן מי יתרצה בזה להתבטל מן התורה אף שזהו קיומה, אףעלפיכן טוב יותר בודאי להיות דבוק בהתורה, אשר היא החיים וארך הימים. ומי האיש אשר יתרצה לפרש מן החיים אפלו רגע אחת, בפרט מי שזוכה לאהבת התורה, ומתמיד מאד בתורה, ודבוק בה מאד, מכלשכן מי שזוכה להרגיש איזה מתיקות בהתורה, לחדש איזה חדוש, אפלו איזה פשט בגמפ""ת, מכלשכן וכלשכן בעל השגה, ובפרט מי שזוכה לגנזיא דמלכא, ומעלה זו אי אפשר לשער במח, ואיך יתרצה לפרש מן התורה אפלו שעה קלה.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.4.21.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.4.21.1","Likutei Moharan.10","https://www.sefaria.org.il/Likutei_Moharan.10","מרדכי ויחתם בטבעת המלך למחות המן עמלק וכו כנ ל כי מרדכי ואסתר הם בחינת ידין ורגלין כמבאר במקום אחר סימן י בחינת חותם בתוך חותם וזה בחינת וידי נטפו מור ואצבעותי מור עובר על כפות המנעול זה בחינת מרדכי מור דרור","k_of_n","9/40 words match (window=""מרדכי ויחתם בטבעת המלך למחות המן עמלק וכו כנ ל כי מרדכי ואסתר הם בחינת ידין ורגלין כמבאר במקום אחר בחינת חותם בתוך חותם וזה בחינת וידי נטפו מור ואצבעותי מור עובר על כפות המנעול זה בחינת מרדכי מור דרור"")","9/40","Likutei Moharan.10.3.4","https://www.sefaria.org.il/Likutei_Moharan.10.3.4","וזה פרוש (תהילים מ״ח:ב׳): גדול ה' ומהלל מאד, כלומר, אימתי גדול ה', כשהוא מהלל מאד – מסטרא דמותא, שהוא בחינת עכו""ם (כמו שאמרו רבותינו זכרונם לברכה (ב""ר פ' ט) על פסוק (בראשית א׳:ל״א): והנה טוב מאד, מאד – זה מלאך המות), כשהוא מהלל מהם, אזי הוא גדול, כי הוא עקר גדלתו;","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.1.2","Likutei Moharan%2C_Part_II.5","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.5","על פי התורה תקעו אמונה בלקוטי תנינא סימן ה עין שם היטב כל התורה","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.4.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.4.2","Likutei Moharan.74","https://www.sefaria.org.il/Likutei_Moharan.74","אליו שכל עליון וגבוה יותר ויותר שיוכל להלביש אור אלקותו לעולם ומדרגה מגשם כזה וכמובן כל זה בהתורה מישרא דסכינא בסימן למד ובכתבי האר י ז ל שהכלים נעשין מאור גבוה יותר וכו עין שם והבן ועל כן בזה העולם אין מספיק","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.11.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.11.1","Likutei Moharan.127","https://www.sefaria.org.il/Likutei_Moharan.127","וזה סוד מה שנתן התנא סימן לזמן קריאת שמע מאכילת הכהנים כמו שהתחיל התנא במשנה הראשונה של ברכות מאימתי קורין את שמע בערבית משעה שהכהנים נכנסים לאכל בתרומתן וכו כי קריאת שמע שהוא אמונה עקר גדולה על ידי הצדיקים אמתיים שהם בחינת אכילת הכהנים","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.14.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.14.1","Likutei Moharan.80","https://www.sefaria.org.il/Likutei_Moharan.80","שנתקלקלה מחטא אדם הראשון ועל ידי חטאי כל הדורות וכמבאר בדברי רבנו ז ל בהתורה אלה מסעי בני ישראל וכו בסימן מ ם שכל הנסיעות והטלטולים הם מחמת פגם אמונה עין שם והעקר הוא מחמת חסרון העצה שאין זוכין לעצות שלמות ואמתיות ואין","k_of_n","7/40 words match (window=""שנתקלקלה מחטא אדם הראשון ועל ידי חטאי כל הדורות וכמבאר בדברי רבנו ז ל בהתורה אלה מסעי בני ישראל וכו שכל הנסיעות והטלטולים הם מחמת פגם אמונה עין שם והעקר הוא מחמת חסרון העצה שאין זוכין לעצות שלמות ואמתיות ואין"")","7/40","Likutei Moharan.80.5.6","https://www.sefaria.org.il/Likutei_Moharan.80.5.6","וזהו: בונה ירושלים ה', ירושלים הוא בחינת הדבור וכו' כנ""ל, ה' הוא בחינת מחין כנ""ל. הינו לזכות לקשר המח אל הדבור, שזהו בחינת בונה ירושלים ה', שהמחין בונין הדבור דקדשה – זה זוכין עלידי: נדחי ישראל יכנס, זה בחינת מסירת נפש על קדוש השם, שכל הנדחין מקדשת ישראל, כשרוצין להעבירם על דת, חס ושלום, אזי נתעוררין תכף ומוסרים נפשם על קדוש השם. נמצא, שעלידי קדוש השם נכנסין כל הנדחין מקדשת ישראל לתוך הקדשה, שזהו בחינת: נדחי ישראל יכנס. ועלידיזה: בונה ירושלים ה', כי קדוש השם הוא בחינת שלום, שעלידיזה יכולין לקשר המחשבה אל הדבור, שזהו בחינת: בונה ירושלים ה' כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.20.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.20.1","Likutei Moharan.70","https://www.sefaria.org.il/Likutei_Moharan.70","וכליו כנ ל ועל כן נקרא המשכן לשון המשכה בחינת משכני אחריך נרוצה כמו שכתב רבנו ז ל במקום אחר בסימן ע הינו בחינת המשכת רוחניות אלקות לתוך צמצומים שנמשכין על ידי כל פרטי המשכן וכליו קרשיו קרסיו עמודיו ואדניו וכו מנורה","k_of_n","6/40 words match (window=""וכליו כנ ל ועל כן נקרא המשכן לשון המשכה בחינת משכני אחריך נרוצה כמו שכתב רבנו ז ל במקום אחר הינו בחינת המשכת רוחניות אלקות לתוך צמצומים שנמשכין על ידי כל פרטי המשכן וכליו קרשיו קרסיו עמודיו ואדניו וכו מנורה"")","6/40","Likutei Moharan.70.1.5","https://www.sefaria.org.il/Likutei_Moharan.70.1.5","והצדיק הוא בחינת עפר הנ""ל, כי הצדיק הוא יסוד עולם, כמו שכתוב (משלי י׳:כ״ה): וצדיק יסוד עולם; וכל הדברים עומדים עליו, ויש לו כח המושך, להמשיך כל הדברים אליו.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.23.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.23.1","Likutei Moharan.49","https://www.sefaria.org.il/Likutei_Moharan.49","שהוא בחינת האור הנמשך מבחינת עתיק כי בשבת הוא בחינת התגלות אוריתא דע ס כמו שכתוב בדברי רבנו ז ל בסימן מ ט אך אף על פי כן לאו כל אדם זוכה לקבל הארה הזאת אפלו בשבת כי אם מי שטרח בערב שבת","k_of_n","6/40 words match (window=""שהוא בחינת האור הנמשך מבחינת עתיק כי בשבת הוא בחינת התגלות אוריתא דע ס כמו שכתוב בדברי רבנו ז ל אך אף על פי כן לאו כל אדם זוכה לקבל הארה הזאת אפלו בשבת כי אם מי שטרח בערב שבת"")","6/40","Likutei Moharan.49.1.6","https://www.sefaria.org.il/Likutei_Moharan.49.1.6","ואית יצירה לטב ולביש, כמו שאמרו חכמינו זכרונם לברכה (ברכות סא): וייצר – בשני יודין וכו'. והם שני יצרין, יצר טוב ויצר הרע. הינו: מחשבות טובות הם יצר טוב, ומחשבות רעות הם יצר הרע. כי עקר היצרים הם המחשבות והחכמות שבלב, כמו שכתוב (בראשית ו׳:ה׳): כי יצר מחשבות לבו וכו'. וכשאדם חושב במחשבות רעות, הוא מטמטם את החלל של הבריאה, ששם התגלות המדות.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.31.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.31.1","Likutei Moharan.31","https://www.sefaria.org.il/Likutei_Moharan.31","כל זמן שיש עדין איזה פגם הברית חס ושלום עדין אין האמונה בשלמות כי הא בהא תליא כמבאר במקום אחר סימן לא ועל כן עקר התקון כשממשיכין האור מיחוד הפנימי מבחינת עתיק שעל ידי זה משיגין שער הנ שעל ידי זה זוכין","k_of_n","6/40 words match (window=""כל זמן שיש עדין איזה פגם הברית חס ושלום עדין אין האמונה בשלמות כי הא בהא תליא כמבאר במקום אחר ועל כן עקר התקון כשממשיכין האור מיחוד הפנימי מבחינת עתיק שעל ידי זה משיגין שער הנ שעל ידי זה זוכין"")","6/40","Likutei Moharan.31.12.7","https://www.sefaria.org.il/Likutei_Moharan.31.12.7","ועל כן יש להתורה שני כחות: זכה נעשה לו סם חיים (יומא עב: ועיין תענית ז) וכו'. כי כל אחד לפי מה שהוא נכסף, כך הוא מציר ומפרש אותיות התורה. כי בהתורה כלול אחיזת טוב ורע, וצדיקים ילכו בם ופשעים יכשלו בם (הושע י״ד:י׳). הינו כל אחד לפי הכסופין שלו, שמהם נעשים נפשות, עלידיזה עושה נקדות לאותיות התורה, ונצטירו האותיות, ונתפרשו לטוב או להפך, חס ושלום. ולפי מה שנצטירין, כך הם פועלים בעולם. ועלכן אותיות התורה מבקשים להצטיר מפי צדיק, שהוא מדבר הכסופין דקדשה שלו, שעלידיזה מקבלין האותיות נקדות, ונצטירין לטוב.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.34.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.34.1","Likutei Moharan.58","https://www.sefaria.org.il/Likutei_Moharan.58","וזה בחינת קדשת שבת קדש שבשבת נמשך הקדשה משם ועל כן שבת היא בחינת תשובה כמו שכתב רבנו ז ל בסימן נח כי עקר בחינת תשובה היא בחינה זאת שעל ידי תשובה זוכין לעלות ולהמשיך על עצמו האור הזה של משיח כמו","k_of_n","6/40 words match (window=""וזה בחינת קדשת שבת קדש שבשבת נמשך הקדשה משם ועל כן שבת היא בחינת תשובה כמו שכתב רבנו ז ל כי עקר בחינת תשובה היא בחינה זאת שעל ידי תשובה זוכין לעלות ולהמשיך על עצמו האור הזה של משיח כמו"")","6/40","Likutei Moharan.58.2.3","https://www.sefaria.org.il/Likutei_Moharan.58.2.3","ולעתיד, בשעת התחיה, יקום משה כלול משלשה אבות כמקדם, בחינת (קהלת א׳:ט׳): מה שהיה הוא שיהיה; בחינת (דברים ל״א:ט״ז): הנך שוכב עם אבותיך וקם – שיקום בתחיה כלול משלשתן. וזה: חד בתלת קימא:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.34.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.34.1","Likutei Moharan.4","https://www.sefaria.org.il/Likutei_Moharan.4","ידי תשובה זוכין לעלות ולהמשיך על עצמו האור הזה של משיח כמו שכתב רבנו ז ל בספר הא ב באות שבת בסימן ד וזה לשונו על ידי שמירת שבת ממשיך על עצמו אור של משיח גם על ידי תשובה עד כאן לשונו","k_of_n","7/40 words match (window=""ידי תשובה זוכין לעלות ולהמשיך על עצמו האור הזה של משיח כמו שכתב רבנו ז ל בספר הא ב באות שבת וזה לשונו על ידי שמירת שבת ממשיך על עצמו אור של משיח גם על ידי תשובה עד כאן לשונו"")","7/40","Likutei Moharan.4.3.1","https://www.sefaria.org.il/Likutei_Moharan.4.3.1","ג ואי אפשר להשיב המלוכה להקדושברוךהוא אלא על ידי ודוי דברים לפני תלמיד חכם, על ידי זה מתקן ומעלה בחינת מלכות לשרשה.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.35.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.35.1","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","חס ושלום ונופלים לכפירות ואמונות כוזביות חס ושלום כפי הפגם והעברה כמו שכתב רבנו ז ל בספר הא ב הישן באות אמונה סימן כב הפשע מכניס כפירה באדם וזה בחינת כי אם עוונותיכם היו מבדילין ביניכם לבין אלהיכם וכשאדם זוכה לתשובה אזי זדונות נתהפכין","k_of_n","9/40 words match (window=""חס ושלום ונופלים לכפירות ואמונות כוזביות חס ושלום כפי הפגם והעברה כמו שכתב רבנו ז ל בספר הא ב הישן הפשע מכניס כפירה באדם וזה בחינת כי אם עוונותיכם היו מבדילין ביניכם לבין אלהיכם וכשאדם זוכה לתשובה אזי זדונות נתהפכין"")","9/40","Likutei Moharan.22.1.5","https://www.sefaria.org.il/Likutei_Moharan.22.1.5","וכשהשם יתברך גוזר גזרדין בעולם, והדין הוא התורה, כי צריך להיות דין תורה, ומחמת שהם למודי ה', הוא מתיעץ עמהם, ומגלה להם הדיןתורה שנגזר על הדור, והם מכסים זה הדיןתורה וחותמין אותו, בבחינת (שיר השירים ד׳:י״ב): מעין חתום, שלא יינקו ממנו החיצונים, שלא יהיה נעשה ממנו, חס ושלום, דין אכזרי. וזה בחינת (ישעיהו ח׳:ט״ז): חתום תורה בלמדי; הינו, בלמודי ה' נחתם הדיןתורה, שלא יינקו ממנו החיצונים.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Joining Domains.5.38.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Joining_Domains.5.38.1","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","כי אם נגלה רק אז יהיה סודות אחרים הגבוהים הרבה מזה כמו ששמעתי מפי רבנו ז ל ויתבאר במקום אחר בסימן כב על כן עכשו נאמר כבוד אלהים הסתר דבר אפלו על ידיעת אלקותו בפשיטות שיהיה לעתיד התגלות ומפורסמות כי אז יתגלו","k_of_n","7/40 words match (window=""כי אם נגלה רק אז יהיה סודות אחרים הגבוהים הרבה מזה כמו ששמעתי מפי רבנו ז ל ויתבאר במקום אחר על כן עכשו נאמר כבוד אלהים הסתר דבר אפלו על ידיעת אלקותו בפשיטות שיהיה לעתיד התגלות ומפורסמות כי אז יתגלו"")","7/40","Likutei Moharan.22.1.4","https://www.sefaria.org.il/Likutei_Moharan.22.1.4","חותם הוא, כי יש מוכיחי הדור, והם בחינות רגלין, ונקראים רגלין, על שם שהם למודי ה', הינו שלומדין כביכול את ה', שנותנין לו עצות, והם הולכים בשליחותו לישראל, להוכיחם ולהחזירם להשם יתברך. ועל שם זה נקראים בחינות רגלין, על שם העצה, כמו שפרש רש""י (שמות יא) על ""וכל העם אשר ברגליך"": ההולכים אחר עצתך, ועל שם ההליכה, שהולכים בשליחותו להוכיח כנ""ל:","not_needed","","",""
