RefA,RefALink,RefB,RefBLink,Snippet
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.1.1.8,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.1.1.8",Likutei Moharan.47,https://www.sefaria.org.il/Likutei_Moharan.47,"ר, כמו שכתב רבנו במאמר, ואכלתם אכול ושבוע וכו' בסימן מז, עין שם. נמצא שזוכה על-ידי אכילה בכשרות לגלות ההתפארות בחינ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.2.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.2.1.1",Likutei Moharan.47,https://www.sefaria.org.il/Likutei_Moharan.47,"ר, כמו שכתב רבנו במאמר, ואכלתם אכול ושבוע וכו' בסימן מז, עין שם. נמצא שזוכה על-ידי אכילה בכשרות לגלות ההתפארות בחינ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.2.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.2.1.4",Likutei Moharan.47,https://www.sefaria.org.il/Likutei_Moharan.47,פי מה שכתב רבנו במאמר ואכלתם אכול ושבוע וכו' (בסימן מז לקוטי חלק א) שעל-ידי שבירות תאות אכילה הוא זוכה לאמת ויכול לעשות
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.2.1.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.2.1.5",Likutei Moharan%2C_Part_II.80,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.80","רץ-ישראל נעשה על-ידי העינים אלו כמבאר במקום אחר (סימן מ""ם בלקוטי תנינא) גם על-ידי זה יוכל לעשות מופתים ולשנות הטבע כרצ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.3.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.3.1.1",Likutei Moharan.34,https://www.sefaria.org.il/Likutei_Moharan.34,המזון על-פי המאמר ואתם תהיו לי ממלכת כהנים וכו' (בסימן לד בלקוטי חלק א):
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.3.11.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.3.11.2",Likutei Moharan.61,https://www.sefaria.org.il/Likutei_Moharan.61,"בל, כמובא זה במקום אחר בדברי רבנו זכרונו לברכה (סימן סא חדי רבי שמעון) ועל-כן היו מנחים שם הארון והלוחות שהם בחינת נק"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.3.15.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.3.15.1",Likutei Moharan.69,https://www.sefaria.org.il/Likutei_Moharan.69,"ענפים וענפים לענפים וכו', כמובן כל זה בדברי רבנו זכרונו לברכה סימן סט. וזה נר חנכה איש וביתו, זה בחינת נקדה הכללית ואז מאירין ממילא כ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.1.1",Likutei Moharan%2C_Part_II.80,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.80","על-פי התורה מי שיודע מארץ-ישראל וכו' בלקוטי תנינא סימן מ""ם, עין שם כל התורה הזאת היטב:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.5.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.5.2",Likutei Moharan.17,https://www.sefaria.org.il/Likutei_Moharan.17,וזה שכתוב בהתורה ויהי הם מריקים שקיהם בסימן יז שעל-ידי אכילה בקדשה זוכין לדעת שעל-ידי זה מאיר אור הצדיק שהוא 
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.7.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.7.1",Likutei Moharan.74,https://www.sefaria.org.il/Likutei_Moharan.74,נה יראה כל זכורך את פני ה' וכו' (כמו שמובא בהתורה מישרא דסכינא בסימן למד) ועל-כן מחמת שבשבת ויום-טוב עולה ומאיר כל ההתפארות של כל המצ
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.16.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.16.2",Likutei Moharan.23,https://www.sefaria.org.il/Likutei_Moharan.23,ו'. וזה שכתב רבנו זכרונו לברכה בהתורה צוית צדק (סימן כג) שעקר שבירת תאות ממון הוא על-ידי הצדיק ומי שחולק על הצדיק הוא נ
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.17.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.17.1",Likutei Moharan.13,https://www.sefaria.org.il/Likutei_Moharan.13,"קר שבירת תאות ממון, כמו שכתב רבנו זכרונו לברכה (בסימן יג). וזה בחינת 'יעשה פרעה ויפקד פקידים על הארץ' שיעשה ממנים, הינו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.17.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.17.1",Likutei Moharan.23,https://www.sefaria.org.il/Likutei_Moharan.23,"ת ועוקרת את האדם חס ושלום, כמבאר בהתורה צוית צדק (סימן כג) כי על-ידי צדקה נצולין מתאות ממון כנ""ל. וזהו, ויתן אכל בערים ו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.19.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.19.1",Likutei Moharan.23,https://www.sefaria.org.il/Likutei_Moharan.23,"ם חסרונות יותר ויותר, כמו שכתב רבנו כל זה בהתורה צוית צדק בסימן כג, עין שם. וזה 'שנתים ימים', זה בחינת פגם המרגלים שנאמר בהם יום"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.19.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.19.1",Likutei Moharan.54,https://www.sefaria.org.il/Likutei_Moharan.54,"ם יום לשנה יום לשנה, כמו שפרש רבנו זכרונו לברכה (בסימן נד) כי על-ידי פגם המרגלים, דהינו פגם ארץ-ישראל משם נמשך תאות "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.20.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.20.2",Likutei Moharan.66,https://www.sefaria.org.il/Likutei_Moharan.66," והעבודה וכן לעולם, כמבאר בהתורה ויהי נא פי שנים (בסימן סו) שהמניעה הוא רק בשביל החשק. ואם יתגבר שיהיה לו חשק גדול כפי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.20.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.20.2",Likutei Moharan.66,https://www.sefaria.org.il/Likutei_Moharan.66,"יהיה כפי המניעה, כמבאר בהתורה ויהי נא פי שנים (בסימן סו). ואם יהיה עקשן בהרצון לבלי להניח את הרצון והכסופים דקדשה ב"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.4.23.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.4.23.1",Likutei Moharan.277,https://www.sefaria.org.il/Likutei_Moharan.277,"ב רבנו זכרונו לברכה על פסוק, צדק לפניו יהלך וכו'. (סימן רעז). ועל-כן אז אנפהא נהירין בנהירו עלאה על-ידי אור ההתפארות של יש"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Grace After Meals and Washing after Meals.5.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Grace_After_Meals_and_Washing_after_Meals.5.1.1",Likutei Moharan.28,https://www.sefaria.org.il/Likutei_Moharan.28,"על-פי התורה ""בני לן ביתא"" בסימן כח לקוטי חלק א. עין שם כל התורה:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.1.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.1.1.1",Likutei Moharan.211,https://www.sefaria.org.il/Likutei_Moharan.211,"ץ מברכת שבעה מינים. עין בשלחן ערוך הדינים בזה (סימן ריא). וכן ברכת העץ קודם לאדמה וכו', עין שם:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.1.1.2",Likutei Moharan.54,https://www.sefaria.org.il/Likutei_Moharan.54,כי כתב רבנו נרו יאיר (בהתורה ויהי מקץ זכרון סימן נד) שה' יתברך מזמין לכל אדם בכל יום ובכל שעה להעלות ניצוצות לפי חלק
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.1.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.1.1.3",Likutei Moharan.47,https://www.sefaria.org.il/Likutei_Moharan.47," משם כמו שכתב רבנו במאמר, ואכלתם אכול ושבוע (סימן מז). כי כל המאכלים הם בחינת נפשות כנ""ל. ועל-כן יש להם מעלה וקדימה"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.1.1.7,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.1.1.7",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"רשם הוא הכבוד. וכמו שכתב רבנו במאמר דרשו וכו' סימן לז המובא בהלכות בית הכנסת, עין שם:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.2.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.2.1.2",Likutei Moharan.44,https://www.sefaria.org.il/Likutei_Moharan.44,", כמו שכתב רבנו נרו יאיר על ענין מחאת כף בתפלה (סימן מד), עין שם. דהינו מה שאמרו רבותינו זכרונם לברכה, למה פתח התורה"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.2.1.3",Likutei Moharan%2C_Part_II.80,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.80"," שם היטב במאמר המתחיל מי שיודע מארץ-ישראל וכו' (בלקוטי תנינא סימן מ""ם). וזה בחינת הברכה שעל ידה אנו עושין ארץ-ישראל, כי כשאנו מברכ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.2.1.3",Likutei Moharan.74,https://www.sefaria.org.il/Likutei_Moharan.74,"א בחינת שעורא דאתון דאוריתא (וכמבאר היטב במאמר מישרא דסכינא סימן למ""ד). ועל-כן שבעת המינין שהם שעורין דאוריתא, הם בבחינת עינים-בת עי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.2.1.3",Likutei Moharan.13,https://www.sefaria.org.il/Likutei_Moharan.13,"תברך כביכול כמובא במאמר 'אשרי העם יודעי תרועה' המדבר מהשגחה בסימן יג. ועל-כן כל הקודם בתורה קודם לברכה, כי הוא סמוך ביותר להשגחתו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.3.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.3.1.2",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"על-פי המאמר דרשו ה' ועזו בקשו פניו תמיד (בסימן לז), עין שם כל התורה כלו:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.3.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.3.2.1",Likutei Moharan.59,https://www.sefaria.org.il/Likutei_Moharan.59,"הנפש, כמבאר בדברי רבנו זכרונו לברכה במקום אחר (סימן נט). וזה מרמז גם במאמר הנ""ל שכתב שם שעל-ידי צדקה מעלין הנפש וכ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.3.6.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.3.6.1",Likutei Moharan.110,https://www.sefaria.org.il/Likutei_Moharan.110," זכרונו לברכה על פסוק, לא ימוש ספר התורה הזה מפיך (סימן קי):"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.3.10.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.3.10.5",Likutei Moharan.54,https://www.sefaria.org.il/Likutei_Moharan.54,"רי רבנו במקום אחר שעל-ידי לשון הרע נפגם הזכרון (בסימן נד), עין שם. כי הזכרון הוא הנפש. ועקר התגלות הנפש הוא על-ידי הכ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.4.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.4.1.2",Likutei Moharan%2C_Part_II.71,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.71","על-פי התורה חבלים נפלו לי בנעימים וכו' (בלקוטי תנינא סימן עא), עין שם היטב מראשה לסופה:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.4.2.1",Likutei Moharan.67,https://www.sefaria.org.il/Likutei_Moharan.67,רבנו זכרונו לברכה במקום אחר בהתורה ויבן ה' אלקים את הצלע בסימן סז). כי עקר הכבוד מתגלה על-ידי בחינת נעם העליון שזוכין לקבל מש
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.1.2",Likutei Moharan%2C_Part_II.88,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.88",על-פי מה שכתוב בלקוטי תנינא סימן פח מבאר שם שיש דברים אבודים וכו':
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.1.3",Likutei Moharan.155,https://www.sefaria.org.il/Likutei_Moharan.155, הרבה על-ידי התאוות. בבחינת תאות רשעים תאבד וכו'. ועין שם בסימן הקודם מענין כונות אלול שהם תקון הברית. ועל-ידי זה יכולין למצא זווגו 
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.1.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.1.5",Likutei Moharan.188,https://www.sefaria.org.il/Likutei_Moharan.188," שמצאו כלם. וגם מצאו כל האבדות של כל העולם וכו'. (כמו שמבאר בסימן קפח לקוטי חלק א, עין שם). ועל-כן בראש השנה שאז תוקעין בשופר שאז "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.2.1",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55," שכתב אדוננו מורנו ורבנו זכרונו לברכה במקום אחר (בסימן נה) בחינת בנימין שנקרא בן ימין על שם ארץ-ישראל, עין שם. ועל-כן א"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.3.1",Likutei Moharan.188,https://www.sefaria.org.il/Likutei_Moharan.188,"ושו שכחה. וכמו שמבאר כל זה בדבריו זכרונו לברכה (סימן קפח הנ""ל) ועל-כן צריכין לזכר היטב מעשה עמלק, כמו שכתוב, לא תשכח. "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.3.1",Likutei Moharan.6,https://www.sefaria.org.il/Likutei_Moharan.6,ל הכונות של אלול כלולים בהתורה קרא את יהושע וכו' בסימן ו שהם אם אסק שמים שם אתה ואציעה שאול הנך שהוא בחינת בקי ברצ
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.6.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.6.1",Likutei Moharan.6,https://www.sefaria.org.il/Likutei_Moharan.6,"כו' כנ""ל. וכונת אלול הם בחינת התורה קרא את יהושע (בסימן ו לקוטי חלק א), עין שם. כי שם מבאר שזהו סוד כונת אלול, עין שם הי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.6.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.6.2",Likutei Moharan.88,https://www.sefaria.org.il/Likutei_Moharan.88,"ינת דרך התשובה הנ""ל, בחינת הנותן בים דרך כנ""ל ועין בתחלת סימן פח הנ""ל שם מבאר שכל כונת אלול שהם תקון האבדות הנזכרות לעיל. הם"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.15.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.15.3",Likutei Moharan.340,https://www.sefaria.org.il/Likutei_Moharan.340,"ירת העמר יכולין להכניע את המסור ולהפילו מאגרא רמא לבירא עמיקתא והסימן לעמר ראשי תבות מ'אגרא ר'מא ל'בירא ע'מיקתא, הינו כנ""ל כי המסור והרוד"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessings Over Fruit.5.18.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessings_Over_Fruit.5.18.1",Likutei Moharan.82,https://www.sefaria.org.il/Likutei_Moharan.82,"מבאר מזה בדברי אדוננו מורנו ורבנו זכרונו לברכה (בסימן פב) על מאמר רבותינו זכרונם לברכה, הנעלבים ואינם עולבים שומעים חרפת"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.1.1.2",Likutei Moharan.25,https://www.sefaria.org.il/Likutei_Moharan.25,"ות דעתי שהוא על-פי מה שכתב רבנו במאמר 'בודיא' בסימן כה שבכל מדרגה ומדרגה יש קלפה הקודמת לפרי, דהינו כח המדמה כ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.1.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.1.2.1",Likutei Moharan.57,https://www.sefaria.org.il/Likutei_Moharan.57,"ת הנשמה, דהינו המח נזון תחלה והכבד נכנע, כמו שכתב רבנו בסימן נז. ובמוצאי שבת שאז מתחיל שליטת הכבד על-כן מחזקין את המח על-ידי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.1.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.1.3.1",Likutei Moharan.62,https://www.sefaria.org.il/Likutei_Moharan.62,"ין להודות היא ברור המאכלים, עין במאמר ויסב אלקים (סימן סב) כי שמעתי מפיו הקדוש שמה שמבאר שם מענין העלאת הדבור בחי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.2.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.2.1.2",Likutei Moharan%2C_Part_II.1,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.1","על-פי המאמר תקעו בחדש שופר (בלקוטי תנינא סימן א). מבאר שם שכשאוחזין בתפלה אזי אין צריכין לרפואות כלל, כי התפ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.3.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.3.1.2",Likutei Moharan.65,https://www.sefaria.org.il/Likutei_Moharan.65,"שכתב רבנו זכרונו לברכה במאמר ויאמר בעז אל רות (סימן סה עין שם) מענין הזריחה של הבטול, כי מי שזוכה להסתכל בכל דבר"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.3.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.3.1.2",Likutei Moharan.4,https://www.sefaria.org.il/Likutei_Moharan.4," לו וכו', עין שם. ועין גם-כן במאמר אנכי ה' אלקיך (בסימן ד) מענין הרשימו של הבטול שמאיר אל הדעת לדעת כי ה' הוא האלקים וכו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.3.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.3.2.1",Likutei Moharan%2C_Part_II.7,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.7",שעת אכילה (כמו שכתב רבנו זכרונו לברכה במקום אחר בלקוטי תנינא סימן ז) וזה בחינת ברכת המזון וברכה אחרונה של אחר האכילה. שעל-ידי זה ש
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.1.2",Likutei Moharan%2C_Part_II.8,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8","על-פי התורה תקעו תוכחה בלקוטי תנינא סימן ח, עין שם כל התורה היטב מראשה לסופה, כי הדברים ארכים ועמקים מא"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.3.1",Likutei Moharan.44,https://www.sefaria.org.il/Likutei_Moharan.44,"ין ישראל על אדום, כמובא בדברי רבנו זכרונו לברכה (סימן מד לקוטי חלק א), עין שם כי כל זמן שהוא מקרב לצדיק האמת. שעל-ידי זה"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.13.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.13.1",Likutei Moharan%2C_Part_II.44,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.44","מדברים דבורי אמונה בפה דיקא. כמו שכתב רבנו (בלקוטי תנינא סימן מד) האמונה תולה בפה של אדם. כמו שכתוב, אודיע אמונתך בפי הינו כנ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.23.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.23.1",Likutei Moharan.21,https://www.sefaria.org.il/Likutei_Moharan.21,"עמים. כמו שכתב רבנו זכרונו לברכה בהתורה עתיקא טמיר וסתים בסימן כא. שבשביל זה נקראים ישראל עם סגלה וכו', עין שם. כי זה הענין אי א"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.24.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.24.1",Likutei Moharan.100,https://www.sefaria.org.il/Likutei_Moharan.100,הוא מדבר ממספר בני ישראל. וכמו שנתנו רבותינו זכרונם לברכה סימן על זה מנו ועצרו. כי מספר בני ישראל זהו בחינת ברור המדמה שזהו ע
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.25.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.25.1",Likutei Moharan%2C_Part_II.74,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.74"," מצוות פורים יכולין להיות נזהרין מחמץ בפסח, עין שם (בלקוטי תנינא סימן עד). נמצא שעכשו ההתחלה של הקדשה שאנו צריכין להמשיך עלינו הוא מ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.27.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.27.1",Likutei Moharan.486,https://www.sefaria.org.il/Likutei_Moharan.486,"רל דקדשה, כי הנחושים שלהם הם להבדיל כמו הגורל דקדשה שעושין סימן פתו נפלה מפיו צבי הפסיקו בדרך וכו' שאין בזה שום טעם. רק הוא זהמת הנ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.42.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.42.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219," ליבשה וסימנך וכל ה'ח'י'י'ם יודוך סלה וכו', כמבאר בשלחן ערוך סימן ריט:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.42.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.42.2",Likutei Moharan.250,https://www.sefaria.org.il/Likutei_Moharan.250,עולם הזה כמובן בדברי רבנו זכרונו לברכה בהתורה (סימן רנ) על מאמר רבותינו זכרונם לברכה ומוריד שני דמעות לים הגדול. וקולו
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Blessing on Fragrance.4.42.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Blessing_on_Fragrance.4.42.2",Likutei Moharan.163,https://www.sefaria.org.il/Likutei_Moharan.163,"זה בספרים. וכמובא מזה בדברי רבנו זכרונו לברכה (בסימן קסג) שכל אלו הארבעה הנ""ל מרמזין על צרות הנפש שהיא תועה במדבר ב"
